HH-pol,HV-pol,SM1 (%),Crop Name,label,NDVI,DpRVI,Depolarization_Rate
-12.5956,-18.66204,6.0,Fallow,Low,0.131556317210197,0.5162907092239241,0.24737510981105515
-8.31751,-16.24288,4.7,Fallow,Low,0.221974089741707,0.37798861019377655,0.1612363655118947
-13.69957,-17.91339,5.3,Fallow,Low,0.12800769507885,0.6734214396292763,0.378981490942334
-12.82822,-17.00291,3.93333333333333,Fallow,Low,0.180530980229378,0.6768348957789492,0.3824115492730338
-10.14318,-16.18518,7.5,Fallow,Low,0.160092800855637,0.5182668259330588,0.24877114210033086
-9.92714,-13.4896,5.5,Fallow,Low,0.138622492551804,0.7301999937725087,0.44030538806405756
-8.02571,-17.00131,3.6,Fallow,Low,0.126079440116882,0.31186861384452597,0.12660183485296403
-8.50091,-14.90316,24.3,Perl Millet,High,0.589403986930847,0.4895054463667578,0.2289681103674827
-6.79147,-13.40384,4.13333333333333,Fallow,Low,0.397556394338608,0.4731136562114356,0.21815390934332798
-11.39931,-16.95714,3.9,Fallow,Low,0.133851066231728,0.5580895860519686,0.27811025290244895
-10.37276,-18.10662,3.2,Fallow,Low,0.141356259584427,0.39102719494747484,0.16850546866515434
