VH-pol,VV-pol,SM1 (%),Crop Name,label,NDVI
-17.0662,-9.65824,17.3,Fallow,Medium,0.208906888961792
-20.0138,-11.7319,11.3,Fallow,Medium,0.0749692767858505
-19.9058,-11.9251,14.4,Fallow,Medium,0.1648535579442978
-18.9276,-12.3338,14.2,Fallow,Medium,0.1020408198237419
-19.7375,-12.5161,14.66666666666667,Fallow,Medium,0.1178707256913185
-14.9472,-10.3794,20.6,Fallow,Medium,0.7027215361595154
-16.3612,-11.2994,25.8,Paddy,High,0.8790882229804993
-16.1688,-10.992,28.9,Paddy,High,0.8432494401931763
-15.6307,-8.82909,4.1,Lemon,Low,0.4553853571414947
-15.1309,-10.333,36.66666666666666,Paddy,Very High,0.8772668838500977
-15.952,-12.0034,40.0,Paddy,Very High,0.8532404899597168
-17.1809,-13.2382,30.3,Paddy,High,0.8695876002311707
-16.9626,-13.4392,5.6,Paddy,Low,0.8642678260803223
-16.5716,-11.4672,39.6,Paddy,Very High,0.827261745929718
-16.9695,-12.5117,32.33333333333334,Paddy,High,0.8233196139335632
-15.5307,-10.9025,50.0,Paddy,Very High,0.821561336517334
-16.7325,-10.8443,48.2,Paddy,Very High,0.8376938104629517
-16.2985,-9.71214,31.7,Paddy,High,0.8467909097671509
-15.9551,-11.4084,30.6,Paddy,High,0.8275198936462402
-16.7127,-11.3849,37.7,Paddy,Very High,0.8181818127632141
-16.0646,-11.6524,36.7,Paddy,Very High,0.8392564058303833
-16.736,-12.6436,30.1,Paddy,High,0.8750322461128235
-15.9252,-10.7431,32.7,Paddy,High,0.8153929114341736
-16.5014,-10.2062,50.0,Fallow,Very High,0.5315179228782654
-16.1256,-10.8009,24.2,Paddy,High,0.8632687926292419
-16.0064,-11.8065,50.0,Paddy,Very High,0.8333796262741089
-16.8686,-12.6924,50.0,Paddy,Very High,0.8193769454956055
-15.9527,-10.7657,50.0,Paddy,Very High,0.8445596098899841
-16.2625,-9.51866,50.0,Paddy,Very High,0.8721628189086914
-15.981,-10.5879,50.0,Paddy,Very High,0.84913569688797
-15.5414,-11.0484,32.7,Paddy,High,0.8255813717842102
-15.9405,-11.6325,28.5,Paddy,High,0.8243164420127869
-15.1456,-11.3157,42.8,Paddy,Very High,0.8889169692993164
-16.7355,-12.1398,45.9,Paddy,Very High,0.8845770955085754
-16.504,-12.4867,22.73333333333333,Paddy,High,0.8189845681190491
-16.7659,-9.81383,50.0,Paddy,Very High,0.8545454740524292
